34.685,135.80472
34.515,135.73639
34.64944,135.78278
34.59667,135.83722
34.50917,135.7925
34.51861,135.84333
34.35194,135.69389
34.46333,135.74028
34.69194,135.70056
34.54139,135.69917
34.48917,135.72667
34.52778,135.9525
34.68139,136.04389
34.62917,135.70056
34.60028,135.69556
34.60889,135.73056
34.60667,135.75667
34.58444,135.77417
34.57361,135.77306
34.55667,135.795
34.51056,136.12472
34.48806,136.16611
34.44944,135.79306
34.47111,135.82056
34.56278,135.71667
34.59472,135.70694
34.54278,135.75083
34.57833,135.73667
34.39611,135.85778
34.39056,135.79
34.36111,135.79194
34.30917,135.85222
34.24194,135.85528
34.16639,135.63306
33.98861,135.7925
34.005,135.95528
34.13444,136.00028
34.33833,135.95444
34.40361,135.96833
